case_id,module_id,case_code,case_name,case_is_approved,case_approved_by_id,case_description,case_pre_conditions,case_need_automation,case_is_automated,case_is_api,case_risk_level,case_ordering,case_qa_id,case_dev_id,collection_id,step_action,step_input_data,step_expected_result,step_sort
91857,1416,SB_WEB_BUILDER_LB_BH_09,Verify các page policy được link đến text editor heading block,1,,"Verify các page policy được link đến text editor heading block

","- shop: https://test-template-creator3.myshopbase.net/  

acc: nule+1@beeketing.net  

pass: Qafront@123  

- Shop có các trang polices đang visible:  

+ Refund policy  

+ Privacy policy  

+ Shipping policy  

+ Terms of service  

+ Return policy

",0,0,0,0,1,187,,0,"Online store -> Customize ở template đang publish

",,,50
,,,,,,,,,,,,,,,,"Drag and drop block Heading

",,"Thấy show dòng text [Edit your title here]

",50
,,,,,,,,,,,,,,,,"Select dòng text [Edit your title here] -> Click Edit -> click icon link 

",,"Popup https://prnt.sc/DfoUxWSBnlrM hiển thị

",50
,,,,,,,,,,,,,,,,"Select [Go to page]

",,"Dropdown hiển thị có category [Policy Pages]

",50
,,,,,,,,,,,,,,,,"Click Select

",,,50
,,,,,,,,,,,,,,,,"Click Policy Pages

",,"Show https://prnt.sc/XniP56KnlFvD

",50
,,,,,,,,,,,,,,,,"Chọn một page bất kỳ

","Refund policy

",,50
,,,,,,,,,,,,,,,,"Click button Apply -> Click button Save

",,,50
,,,,,,,,,,,,,,,,"Open storefront -> Click link [Edit your title here]

",,"Redirect to trang Refund policy

",50
,,,,,,,,,,,,,,,,"Back to dashboard -> Click Online store -> Customize ở template đang publish

",,,50
,,,,,,,,,,,,,,,,"Select dòng text [Edit your title here] -> Click Edit 

",,"icon link ở trạng thái được select

",50
,,,,,,,,,,,,,,,,"Turn on toggle Open in new tab -> Click Apply -> Click Save

",,,50
,,,,,,,,,,,,,,,,"Open storefront -> Click link [Edit your title here]

",,"Open Refund policy page ở new tab

",50
,,,,,,,,,,,,,,,,"Back to dashboard -> Click Online store -> Pages -> Làm hidden trang Refund policy

",,,50
,,,,,,,,,,,,,,,,"Open storefront -> Click link [Edit your title here]

",,"Open new tab với hiển thị page not found

",50
,,,,,,,,,,,,,,,,"Back to dashboard -> Click Online store -> Click customize ở template đang publish

",,,50
,,,,,,,,,,,,,,,,"Click [Edit your title here] -> Click Edit 

",,"icon link đang ở trạng thái được select

",50
,,,,,,,,,,,,,,,,"Click icon link

",,"Show dropdown fill các dữ liệu:  

- Go to page  

- Refund policy  

- Turn on Open in new tab

",50
,,,,,,,,,,,,,,,,"Turn off toggle Open in new tab -> Click Apply -> Click Save

",,,50
,,,,,,,,,,,,,,,,"Click 

",,,50
,,,,,,,,,,,,,,,,"Open storefront -> Click link [Edit your title here]

",,"Redirect to page not found

",50
73705,1416,SB_WEB_BUILDER_BH_01,Check setting mặc định khi add block Heading,1,,"Check setting mặc định khi add block Heading

","- Shop: https://au-wsb-sections.onshopbase.com/  
Account: shopbase@beeketing.net  
Pass: Q(f!3Kx+6n;?Us%F  
- Shop add theme website builder và active theme này  
- Customize website builder active  
- Setting Override Website style = Off  
- Đã add section A gồm 1 row, 1 column

",1,1,0,0,1,30,,0,"Tại column, click Add block

",,"Hiển thị drawer Insert block

",50
,,,,,,,,,,,,,,,,"Chọn block Heading

",,"- Hiển thị block Heading ở vị trí vừa add block + hiển thị setting block bên sidebar  
- Bên sidebar:   
+ Width = Auto  
+ Height = Auto  
+ Background = none  
+ Border = none  
+ Opacity = 100%  
+ Radius = 0px  
+ Shadow = none  
+ Padding = 0  
+ Margin = 0  
+ Z-Index = 0  
- Helptext: To customize font style, go to Fonts in Website Style 


  
- Bên preview:  
+ Nội dung mặc định: "" Edit your title here""  
+ Màu mặc định ban đầu là màu đen.  
+ Font-size: Heading 1  
+ Tag: <h1>  
+ Block Heading có font, font style, font size, color ăn theo font, font style, font size, color của Website style  
+ Position = auto[https://prnt.sc/hQDyjWw-5SV](https://prnt.sc/hQDyjWw-5SV-)-  


",50
,,,,,,,,,,,,,,,,Click dấu + trên thanh menu,,Hiển thị drawer Insert section + block,50
,,,,,,,,,,,,,,,,"Chọn block Heading, thực hiện drag & drop vào Webfront vị trí ngoài row, column",,"- Hiển thị block Heading ở vị trí vừa add block + hiển thị setting block bên sidebar  
- Bên sidebar:   
+ Width = Auto  
+ Height = Auto  
+ Background = none  
+ Border = none  
+ Opacity = 100%  
+ Radius = 0px  
+ Shadow = none  
+ Padding = 0  
+ Margin = 0  
+ Z-Index = 0  
- Helptext: To customize font style, go to Fonts in Website Style   
- Bên preview:  
+ Nội dung mặc định: "" Edit your title here""  
+ Màu mặc định ban đầu là màu đen.  
+ Font-size: Heading 1  
+ Tag: <h1>  
+ Block Heading có font, font style, font size, color ăn theo font, font style, font size, color của Website style  
+ Position = Auto",50
,,,,,,,,,,,,,,,,Click vào Fonts ở helptext ,,"Mở ra Fonts ở website style

",50
73706,1416,SB_WEB_BUILDER_BH_02,Input text\_Check hiển thị khi input text vào block Heading,1,,"Check hiển thị khi gõ trực tiếp text vào textbox

","- Shop: https://au-wsb-sections.onshopbase.com/  
Account: shopbase@beeketing.net  
Pass: Q(f!3Kx+6n;?Us%F  
- Shop add theme website builder và active theme này  
- Customize website builder active  
- Setting Override Website style = On  
- Đã add section A gồm 1 row, 2 column: Column 1 và Column 2  
- Column 1 có add block Heading

",1,1,0,0,2,30,,0,"Tại block Heading, gõ trực tiếp vào textbox

","Input text: Collection list

","Hiển thị block Heading có text đã input  
- Block Heading có font, font style, font size, color ăn theo font, font style, font size, color của Page style

",50
,,,,,,,,,,,,,,,,"Tại block Heading, dán text có format

","Text có color = red

","- Remove style format của text trong clipboard  
- Block Heading có font, font style, font size, color ăn theo font, font style, font size, color của Text được copy

",50
,,,,,,,,,,,,,,,,"Tại block Heading, dán text có bullet

","Text: ""a. How to Use Facebook Advertising to Find and Attract Clients.  
b. How to Leverage Your Existing Network to Find New Clients. ""

","Tự động chuyển sang bullet mặc định của Page style

",50
,,,,,,,,,,,,,,,,"Tại block Heading, dán ảnh

",,"Không cho phép dán ảnh

",50
,,,,,,,,,,,,,,,,,,,50
73707,1416,SB_WEB_BUILDER_BH_03,Định vị con trỏ\_Check hiển thị định vị con trỏ vào text khi thực hiện click vào block,1,,"Check hiển thị định vị con trỏ vào text khi thực hiện click vào block

","- Shop: https://au-wsb-sections.onshopbase.com/  
Account: shopbase@beeketing.net  
Pass: Q(f!3Kx+6n;?Us%F  
- Shop add theme website builder và active theme này  
- Customize website builder active  
- Đã add section A gồm 1 row, 2 column: Column 1 và Column 2  
- Column 1 có add block Heading có text: ""Your Creative writing career accelerated""

",1,0,0,0,3,187,,0,"Click 1 lần vào block Heading

",,"Hiển thị block Heading:  
- Webfront: show Quickbar setting ở bên trên block  
- Sidebar: show setting  
- Block ở trạng thái selected  
- Không định vị con trỏ vào text

",50
,,,,,,,,,,,,,,,,"Con trỏ đang trỏ vào text hoặc vùng trắng của block-> double click vào block

",,Con trỏ chuột nằm ở vị trí text đầu tiên của block,50
,,,,,,,,,,,,,,,,,,,50
73708,1416,SB_WEB_BUILDER_BH_04,Bôi đen text\_Check hiển thị khi thực hiện bôi đen vùng text,1,,"Check hiển thị khi thực hiện bôi đen vùng text

","- Shop: https://au-wsb-sections.onshopbase.com/  
Account: shopbase@beeketing.net  
Pass: Q(f!3Kx+6n;?Us%F  
- Shop add theme website builder và active theme này  
- Customize website builder active  
- Đã add section A gồm 1 row, 2 column: Column 1 và Column 2  
- Column 1 có add block Heading có text: Your Creative writing career accelerated

",1,0,0,0,4,187,,0,"Click 1 lần vào Text

",,"Không bôi đen text

",50
,,,,,,,,,,,,,,,,"Định vị con trỏ vào đằng trước chữ cái đầu tiên của text, double click

","Đặt con trỏ tại trước chữ ""y"" của text ""Your""

","Bôi đen text ""Your""

",50
,,,,,,,,,,,,,,,,"Định vị con trỏ vào chữ cái bất kì của text, double click

","Đặt con trỏ tại chữ ""u"" của text ""Your""

","Bôi đen text ""Your""

",50
,,,,,,,,,,,,,,,,"Định vị con trỏ vào đằng sau chữ cái cuối của text, double click

","Đặt con trỏ tại đằng sau chữ ""r""

","Bôi đen space

",50
,,,,,,,,,,,,,,,,"Định vị con trỏ vào đằng sau chữ cái cuối của text, triple click",,Bôi đen toàn bộ dòng chứa text đó,50
,,,,,,,,,,,,,,,,,,,50
73709,1416,SB_WEB_BUILDER_BH_05,Font style\_Check font style của block Heading,1,,"Check font style của block Heading

","- Shop: https://au-wsb-sections.onshopbase.com/  
Account: shopbase@beeketing.net  
Pass: Q(f!3Kx+6n;?Us%F  
- Shop add theme website builder và active theme này  
- Customize website builder active  
- Page 1 đang setting Override website style = off  
- Đã add section A gồm 1 row, 1 column, 1 block Heading

",1,0,0,0,5,30,,0,"Click vào block Heading, chọn Heading 2 trên thanh Quickbar setting 

",,"Hiển thị block Heading có style: Heading 2  
- Quickbar setting hiển thị Heading 2, tag tự động hiển thị <h2>

",50
,,,,,,,,,,,,,,,,"Click vào block Heading, chọ Heading 3 trên thanh Quickbar setting

",,"Hiển thị block Heading có style: Heading 3  
- Quickbar setting hiển thị Heading 3, tag tự động hiển thị <h3> 

",50
,,,,,,,,,,,,,,,,"Click vào block Heading, chọ Heading 4 trên thanh Quickbar setting

",,"Hiển thị block Heading có style: Heading 4  
- Quickbar setting hiển thị Heading 4, tag tự động hiển thị <h4>

",50
,,,,,,,,,,,,,,,,"Ở sidebar, setting Override website style = off, check hiển thị font size block Heading

",,"Hiển thị block Heading có style: Heading 4  
- Quickbar setting hiển thị Heading 4,  tag tự động hiển thị <h4>

",50
,,,,,,,,,,,,,,,,"Click vào block Heading, chọ Heading 1 trên thanh Quickbar setting

",,"Hiển thị block Heading có style: Heading 1   
Quickbar setting hiển thị Heading 1,  tag tự động hiển thị <h1>

",50
,,,,,,,,,,,,,,,,"Click vào block Heading, chọ Heading 2 trên thanh Quickbar setting

",,"Hiển thị block Heading có style: Heading 2  
- Quickbar setting hiển thị Heading 2,  tag tự động hiển thị <h2>

",50
,,,,,,,,,,,,,,,,"Click vào block Heading, chọ Heading 3 trên thanh Quickbar setting

",,"Hiển thị block Heading có style: Heading 3  
- Quickbar setting hiển thị Heading 3,  tag tự động hiển thị <h3>

",50
,,,,,,,,,,,,,,,,"Click vào block Heading, chọn Paragraph 1 trên thanh Quickbar setting",,"Hiển thị block Heading có style: Paragraph   
- Quickbar setting hiển thị Heading 3,  tag tự động hiển thị <p>",50
,,,,,,,,,,,,,,,,"Enter xuống dòng, text thành 2 paragraph, nhập thêm text   
Để chuột ở paragraph thứ 2. Chọn Style Heading 1",,"Block hiển thị 2 paragraph có paragraph ở trên ăn theo style Paragraph 1, paragraph thứ 2 ăn theo style Heading 1",50
73710,1416,SB_WEB_BUILDER_BH_06,Text decorations\_Check setting text decorations của block Heading,1,,"Check setting text decorations của block Heading

","- Shop: https://au-wsb-sections.onshopbase.com/  
Account: shopbase@beeketing.net  
Pass: Q(f!3Kx+6n;?Us%F  
- Shop add theme website builder và active theme này  
- Customize website builder active  
- Page 1 đang setting Override website style = off  
- Đã add section A gồm 1 row, 1 column, 1 block Heading  
- Block Heading có input text: Your Creative writing career accelerated

",1,0,0,0,6,187,,0,"Click vào block Heading, click edit text

",,"- Hiển thị Quickbar có 4 icon text decorations: Bold, Italic, Underline, Strikethrought  
- Không highlight icon text decorations

",50
,,,,,,,,,,,,,,,,"Bôi đen text ""Achieve""  
Chọn decoration ""Bold""",,"- text ""Achieve"" hiển thị in đậm  
- Highlight icon ""B"" trên Quickbar

",50
,,,,,,,,,,,,,,,,"Bôi đen text ""Financial"", chọn decoration ""Italic""",,"Text ""Financial"" hiển thị nghiêng  
- Highlight icon ""I"" tương ứng trên Quickbar

",50
,,,,,,,,,,,,,,,,"Bôi đen text ""Freedom"", chọn decoration ""Underline""",,"- Text ""Freedom"" hiển thị có underline   
- Highlight icon ""U"" tương ứng trên Quickbar

",50
