case_id,module_id,case_code,case_name,case_is_approved,case_approved_by_id,case_description,case_pre_conditions,case_need_automation,case_is_automated,case_is_api,case_risk_level,case_ordering,case_qa_id,case_dev_id,collection_id,step_action,step_input_data,step_expected_result,step_sort
80137,1700,SB_WEB_BUILDER_PRD_01,Verify hiển thị UI default khi add block breadcrumb,1,268,"Inser panel\_ Verify hiển thị UI default khi add block breadcrumb

","- Shop: https://sbase-production.onshopbase.com/    
- Acc: hoanguyen3@beeketing.net / Hoa1510@      
- Đã add blank section vào product page và blog post 


Note Khi insert vào các page khác ngoài product detail/ blog post, bao gồm cả các pages merchant tạo mới thì breadcrumb sẽ có dạng Home / {{Page name}}


Design:      
https://www.figma.com/file/9J11n3j1lG01kkCASUhmjc/Website-Builder?node-id=1536-101830&t=PbdcKVgjfQ4gbRoq-0

",1,0,0,0,1,25,,0,"Click ""Add block"" trong blank section

",,"Hiển thị drawer Insert block

",50
,,,,,,,,,,,,,,,,"Click add block Breadcrumb trong blank section.

",,"- Hiển thị block Breadcrumb ở vị trí vừa add block + hiển thị setting block bên sidebar       
- Bên sidebar, tab Design:      
+Text color: color 5      
+ Seperator dạng droplist với option default là: /Slash, các option theo thứ tự lần lượt từ trên xuống dưới: Slash, Arrow outline, Arrow fill, Double arrow, Dot      
+ Common setting của 1 block:      
 Align: Left      
 Width= Auto      
 Background = none      
 Opacity = 100%      
Radius = 0    
 Shadow = none      
Padding = 0,0,0,0      
Margin = 0,0,0,0      
      
**Note: Không có setting border**


- Hiển thị preview breadcrumb tương ứng với các setting default, breadcrumb hiển thị 1 dòng, default width của block là auto, nếu tên product quá dài, tổng width của các item lớn hơn 100% thì truncate    
    


![](chrome-extension://bpggmmljdiliancllaapiggllnkbjocb/logo/48.png)",50
,,,,,,,,,,,,,,,,"Tại sidebar, click tab Content

",,"- Bên sidebar, tab Content:      
+ Hiển thị 2 toggle switch: Hide Homepage, Hide current page       
+ Các toggle switch mặc định tắt

",50
,,,,,,,,,,,,,,,,"Check hiển thị breadcrumb trên mobile

",,"Hiển thị 1 dòng, nếu tổng width của các item lớn hơn 100% thì truncate

",50
84817,1700,SB_WEB_BUILDER_PRD_32,Verify chỉnh sửa setting common của block,1,268,"Verify chỉnh sửa setting common của block

","- Shop: https://sbase-production.onshopbase.com/    
- Acc: hoanguyen3@beeketing.net / Hoa1510@      
- Đã có product ""Test block Breadcrumb"" đã add block Breadcrumb      
- Đi đến màn WB chỉnh sửa block breadcrumb      
- Đi đến web front của product đang edit block breadcrumb

",1,0,0,0,2,25,,0,"Click vào block, click duplicate (hoặc Ctrl+D)

",,"Block được duplicate đúng giá trị đang hiển thị, preview và SF hiển thị tương ứng

",50
,,,,,,,,,,,,,,,,"Click vào block, click Hide

",,"Block được ẩn đi, preview và Sf hiển thị tương ứng

",50
,,,,,,,,,,,,,,,,"Action Bar -> Layer -> Section chứa block -> Click hiển thị lại block

",,"Block hiển thị ra, preview và Sf hiển thị tương ứng

",50
,,,,,,,,,,,,,,,,"Click vào block, Delete

",,"Block bị xóa mất đi, preview và SF hiển thị tương ứng

",50
84818,1700,SB_WEB_BUILDER_PRD_33,Verify chỉnh sửa tab content của block breadcrumb,1,268,"Verify chỉnh sửa tab content của block breadcrumb

","- Shop: https://sbase-production.onshopbase.com/    
- Acc: hoanguyen3@beeketing.net / Hoa1510@     
- Đã có product ""Test block Breadcrumb"" đã add block Breadcrumb     
- Đi đến màn WB chỉnh sửa block breadcrumb      
- Đi đến web front của product đang edit block breadcrumb

",1,0,0,0,3,25,,0,"Tại sidebar, click tab Content. 

",,"- Bên sidebar, tab Content:      
+ Hiển thị 2 toggle switch: Hide Homepage, Hide current page       
+ Các toggle switch mặc định tắt

",50
,,,,,,,,,,,,,,,,"Bật toggle switch Hide Home page

",,"Breadcrumb ẩn item Home

",50
,,,,,,,,,,,,,,,,"Tắt toggle switch Hide Home page

",,"Breadcrumb hiển thị lại item Home

",50
,,,,,,,,,,,,,,,,"Bật toggle switch Hide current page

",,"Breadcrumb ẩn Current item

",50
,,,,,,,,,,,,,,,,"Tắt toggle switch Hide current page

",,"Breadcrumb hiển thị lại Current item

",50
82167,1700,SB_WEB_BUILDER_PRD_70,block\_breadcrumb Verify rule hiển thị breadcrumb ở các trang,0,,"Verify rule hiển thị breadcrumb ở các trang

","- Shop: https://wb-block-button.onshopbase.com/  
- Acc: shopbase@beeketing.net / Q(f!3Kx+6n;?Us%F  
- Đã có product ""Test block Breadcrumb"" thuộc collection X và Y và đã add block Breadcrumb  
- Đã tạo page Page breadcrumb  
- Đi đến màn WB chỉnh sửa block breadcrumb  
- Đi đến web front của product đang edit block breadcrumb

",1,0,0,0,4,25,119,0,"Mở trang Home

",,"Breadcrumb chỉ hiển thị Home /

",50
,,,,,,,,,,,,,,,,"Vào trực tiếp product detail / blog post từ Home

",,"Breadcrumb là: Home / All / Product name  
Home / Blog title /  blog post title

",50
,,,,,,,,,,,,,,,,"Mở page ""Page breadcrumb"", check hiển thị breadcrumb

",,"Breadcrumb của page là  Home / {{Page name}}  
ex: Home / Page breadcrumb

",50
80138,1700,SB_WEB_BUILDER_PRD_02,Verify thay đổi separator icon giữa các item trong breadcrumb,1,268,"Verify thay đổi  separator icon giữa các item trong breadcrumb

","- Shop: https://sbase-production.onshopbase.com/    
- Acc: hoanguyen3@beeketing.net / Hoa1510@     
- Đã có product ""Test block Breadcrumb"" đã add block Breadcrumb      
- Đi đến màn WB chỉnh sửa block breadcrumb      
- Đi đến web front của product đang edit block breadcrumb

",1,0,0,0,4,25,,0,"Tại sidebar, click tab Design.

","product ""Test block Breadcrumb""

","- Bên sidebar, tab Styles:      
+  Seperator dạng droplist với option default là: /Slash, các option theo thứ tự lần lượt từ trên xuống dưới: Slash,  Arrow outline, Arrow fill, Double arrow, Dot       
+ Mặc định chọn seperator default là Slash      
+ Mặc định dạng hiển breadcrumb của trang product detail là: Home / All / Test block Breadcrumb      
+ Note color: separator color 5, opacity 0.24, paragraph 3

",50
,,,,,,,,,,,,,,,,"Tại sidebar, click tab Design, tab Seperator, chọn option:  Arrow outline -> Save 

",,"- Ngay khi chọn 0.3s hiển thị tại mục preview breadcrumb dạng: Home > All  > Test block Breadcrumb       
- Tại web front của product hiển thị breadcrumb tương ứng với thay đổi trong web builder 

",50
,,,,,,,,,,,,,,,,"Tại sidebar, click tab Design, tab Seperator, chọn option:  Arrow fill -> Save 

",,"- Ngay khi chọn 0.3s hiển thị tại mục preview breadcrumb dạng: https://imgur.com/ZlU82Wc        
- Tại web front của product hiển thị breadcrumb tương ứng với thay đổi trong web builder 

",50
