"TC ID","Module","Risk Level","Test Scenario","Pre-Condition","Test Steps","Test Data","Expected Result","Priority"
"ECOM_VP_TC_001","M1: Builder Config","Medium","Kiểm tra kéo Block mới + Nhận diện Default Style Design","Merchant vào thiết kế lại trang Product Detail. Chưa có block nào.","1. Tìm block `Variant Picker` và kéo vào khu vực làm việc.
2. Đo thông số CSS/Margin trên khung config.","Product: T-shirt có options Color, Size.","1. Block tự động băm list Options trùng 100% với Product đang thao tác.
2. Các thông số Width, Padding khớp chuẩn với file Design Default của Figma.","High"
"ECOM_VP_TC_002","M1: Builder Config","Medium","Kiểm tra Setup Typography, Option Label Color và Spacing","Có sẵn Block Variant trong Editor.","1. Edit Label Color sang màu đỏ #FF0000.
2. Đổi Font-size bằng 20px, kéo Spacing 10px.
3. Click Save & Preview.","Nhập trực tiếp mã Hex code: #ff0000","Các Text (tiêu đề Style, Size) đều đổi sang màu Đỏ + Font to ra. Spacing cách giữa các cụm Option giãn ra đúng 10 pixels.","Medium"
"ECOM_VP_TC_003","M1: Builder Config","Medium","Thử nghiệm Rule Auto-hug content (Ngăn cố định chiều dọc)","Variant Picker trong Editor đang xòe dạng Button khá dài (3 row).","1. Dùng chuột kéo bóp chiều rộng (Width) của Block thít lại.
2. Kiểm tra chiều dọc (Height) của viền block.","Giả lập Screen Layout trên màn Editor.","1. Hệ thống chỉ cho phép bóp móp vào tới ngưỡng (vd 100px) rồi Block đứng cứng lại dội block Minimum-width.
2. Khi bị bóp bề ngang, list nút (Button) tự động rớt dòng -> Chiều dọc viền (Height) của block rướn dài ra ôm trọn các nút tự động (Auto-hug).","Medium"
"ECOM_VP_TC_004","M1: Builder Config","High","Kiểm tra Fallback Data khi Mở Image Preview bị lỗi thiếu tài nguyên","Bật Image Preview. Option của sản phẩm: Đỏ, Vàng, Xanh. Nhưng trong Admin bị KHUYẾT chưa up ảnh cho màu Xanh.","1. Tích chọn ưu tiên `Image Preview` trong setting.
2. Store update và Render giao diện Webfront.
3. Kiểm tra mục chọn Màu Xanh.","Sản phẩm ""Áo thun cơ bản"". Up file red.png, yellow.png. Color code cho xanh #0000FF","Cục Màu Đỏ, Vàng hiển thị bằng Image thu nhỏ (Thumbnail). Riêng cục màu Xanh rơi vô fallback -> Hiển thị text nhãn chữ: `Xanh` (hoặc mã hex). UI không bị thủng/bay màu hoặc nháy Layout-shift.","High"
"ECOM_VP_TC_005","M2: Buyer Frontend","Critical","Ràng buộc luồng Đồng bộ Ảnh (Gallery) và Giá tiền (Price sync) theo Variant","Sản phẩm test có ảnh khác biệt và Giá lệch nhau.","1. Buyer truy cập Store. Mặc định đang ở Size `S` Màu `Vàng`.
2. Bấm đổi tuỳ chọn sang Màu `Đen`, Size `XL`.
3. Rà soát khu vực Image + Vùng tính Giá tiền.","`Vàng-S` (Giá 10$ + Ảnh Vàng). `Đen-XL` (Giá 15$ + Ảnh Đen).","Ngay lúc click, Gallery ảnh trượt sang hình áo thun Đen. Lõi Price block từ `$10.00` tự động thay sang thành `$15.00`.","Critical"
"ECOM_VP_TC_006","M2: Buyer Frontend","Critical","Behavior Xử lý hàng Sold-out / Không tồn tại rẽ nhánh Mix","Setup Áo bị hết size XL cho Màu Trắng.","1. Vô trang storefront từ máy thật.
2. Ấn qua ấn lại các Option. Bấm chọn màu `Trắng`.
3. Xem list nút các loại Size và Cụm Nút thêm vô giỏ hàng.","Variant: Trắng - XL - Inventory = 0","1. Cái nút size `XL` lập tức bị gạch chéo hoặc bôi mờ thể hiện tình trạng Unavailable/Out of stock.
2. Nếu User cố click vào cục đó, nút ấn `Add to Cart` & `Buy Now` lập tức chìm xuống màu Xám Disable.","Critical"
"ECOM_VP_TC_007","M2: Buyer Frontend","Critical","Luồng Validation Warning khi cố tình nhét Add to cart trống","Config Variant dạng Dropdown hoặc chưa select mặc định option nào lúc mới vô.","1. Mở Session trắng, lướt ngang thấy nút `Add to Cart` đang bị xám mây (Mờ - Disabled).
2. Cứ click hoặc rê chuột vào cái nút mờ đó.","Flow chưa click bất kỳ Variant nào.","1. Nút không kích hoạt POST event bắn lên server.
2. Phải nảy lên một Popup/Tooltip text báo lỗi Đỏ rực tại khu vực Nút hoặc khu vực Dropdown: `Please select [Option_Name]`.","Critical"
"ECOM_VP_TC_008","M2: Buyer Frontend","Medium","Bật Setting Nút cá nhân hoá Personalization Preview","Ở Dashboard Setting > POD : Config Preview Button ON.","1. Mở storefront 1 sản phẩm có tính chất in ấn riêng (Custom option text box).
2. Rà đoạn Footer dưới của Variant Picker Block.","Sp có Option custom name (Input Text).","Xuất hiện nút lệnh Call-To-Action nội dung `Preview your design`.","Medium"
"ECOM_VP_TC_009","M3: Cross-platform","High","Test rule ép cứng ""Key Names"" của Size chart Shopbase","Set up 1 store ShopBase (SB basecode).","1. Bật tính năng Config Size Chart. Mở 1 sản phẩm tên Option là `Dimensions` -> Vô Store ngắm.
2. Đổi tên Option đó từ Admin thành cụm `Size` -> Load lại store.","Tên Opt: `<Dimensions>` vs `<Size>`","1. Lần đầu: Tịt ngủm, không có Icon Size Chart nào mọc lên.
2. Lần đổi thành chữ `Size`: Icon Size chart bung lên ở rìa phải của Option đó thành công.","High"
"ECOM_VP_TC_010","M3: Cross-platform","High","Chạy luồng Size Chart độc lập Tên Key bên nhánh PrintBase / PlusBase","Set up 1 store là PB/PLB ecosystem. Bật Config trên Shop template/Hive.","1. Vào ngẫu nhiên 1 sản phẩm (Không có Option đặt tên Size).
2. Load Storefront.
3. Mở xem Chart và ấn nút Convert toggle.","PB Template active. Option Name bất kỳ.","Cụm Size Chart vẫn hiển thị. Bấm bật lên ra Popup, nhấn nút convert Unit chuyển qua lại giữa Thông số `Inch` và tính ra Metric đo `CM` chuẩn logic toán học.","High"
