case_id,module_id,case_code,case_name,case_is_approved,case_approved_by_id,case_description,case_pre_conditions,case_need_automation,case_is_automated,case_is_api,case_risk_level,case_ordering,case_qa_id,case_dev_id,collection_id,step_action,step_input_data,step_expected_result,step_sort
96933,1583,SB_WEB_BUILDER_LB_SLS_28,Verify case setup widget Action cho cả tab Button và Media của cùng 1 slide,0,,"Verify case setup widget Action cho cả tab Button và Media của cùng 1 slide

","- shop: https://test-insert-panel-1.myshopbase.net/  
acc: nule+1@beeketing.net/ Qafront@123


![](chrome-extension://bpggmmljdiliancllaapiggllnkbjocb/logo/48.png)",0,0,0,0,1,238,,0,"Login to dashboard -> Online store -> Click customize template đang publish

",,,50
,,,,,,,,,,,,,,,,"Open insert panel -> drag and drop block Slideshow

",,,50
,,,,,,,,,,,,,,,,"Delete Slide 2 và Slide 3

",,,50
,,,,,,,,,,,,,,,,"Click vào icon settings của Slide 1

",,"Show popup settings:   
https://prnt.sc/lgbFy1OEH\_Lr

",50
,,,,,,,,,,,,,,,,"Click tab Media

",,"Show dropdown Action ở vị trí cuối cùng của popup  
https://prnt.sc/UCbLr7pWM-BK

",50
,,,,,,,,,,,,,,,,"Click dropdown Action

",,"Show data như ảnh:  
https://prnt.sc/4PMh9foUgNEi

",50
,,,,,,,,,,,,,,,,"Select [Go to page]

",,"- Hiển thị field Page  
- turn on toggle Open in new tab

",50
,,,,,,,,,,,,,,,,"- Select data field Page  
  


","- Page = Cart  
- Overlay = #C22B2BA1  
- Size = Cover  
- Postion: Center-center

",,50
,,,,,,,,,,,,,,,,"Click tab Button -> Select data field Action

","Action = Open a link  
Target url = [https://manual-ne-04.myshopbase.net/blogs/go-lang  
  
Open in new tab = Off](https://manual-ne-04.myshopbase.net/blogs/go-lang)
![](chrome-extension://bpggmmljdiliancllaapiggllnkbjocb/logo/48.png)"," 


![](chrome-extension://bpggmmljdiliancllaapiggllnkbjocb/logo/48.png)",50
,,,,,,,,,,,,,,,,"Click [Save]

",,"Ở WB, Slideshow hiển thị như setting

",50
,,,,,,,,,,,,,,,,"Open SF

"," 


![](chrome-extension://bpggmmljdiliancllaapiggllnkbjocb/logo/48.png)",Hiển thị Slideshow giống như trong WB,50
,,,,,,,,,,,,,,,,"Click vào button

",,Redirect đến trang <https://manual-ne-04.myshopbase.net/blogs/go-lang>,50
,,,,,,,,,,,,,,,,"Click nút Back trên trình duyệt

",,"Open trang home của shop, show Slideshow

",50
,,,,,,,,,,,,,,,,"Click vào ảnh media

",,Redirect đến trang cart ở new tab,50
91861,1583,SB_WEB_BUILDER_LB_SLS_19,Verify thêm widget Action cho tab Media với Media là Image của block Slideshow,1,,"Verify thêm widget Action cho tab Media với Image của block Slideshow

","- shop: https://test-insert-panel-1.myshopbase.net/  
acc: nule+1@beeketing.net/ qafront@123  
- shop có section: A  
- Ngoài storefront đã add sẵn product B vào cart

",0,0,0,0,1,238,,0,"Login to dashboard -> Online store -> Click customize template đang publish

",,,50
,,,,,,,,,,,,,,,,"Open insert panel -> drag and drop block Slideshow

",,,50
,,,,,,,,,,,,,,,,"Delete Slide 2 và Slide 3

",,,50
,,,,,,,,,,,,,,,,"Click vào icon settings của Slide 1

",,"Show popup settings:   
https://prnt.sc/lgbFy1OEH\_Lr

",50
,,,,,,,,,,,,,,,,"Click tab Media

",,"Show dropdown Action ở vị trí cuối cùng của popup  
https://prnt.sc/UCbLr7pWM-BK

",50
,,,,,,,,,,,,,,,,"Click dropdown Action

",,"Show data như ảnh:  
https://prnt.sc/4PMh9foUgNEi

",50
,,,,,,,,,,,,,,,,"Select [Open a link]

",,"- Hiển thị field Target URL  
- turn on toggle Open in new tab

",50
,,,,,,,,,,,,,,,,"- Input data field Target URL:   
- Set Style

","- <https://manual-ne-04.myshopbase.net/blogs/go-lang>  
- Overlay = #C22B2BA1  
- Size = Cover  
- Postion: Center-center

",,50
,,,,,,,,,,,,,,,,"Click Save -> Open storefront -> Click image ở slide 1

",,"Open page https://manual-ne-04.myshopbase.net/blogs/go-lang  
 trong tab mới

",50
,,,,,,,,,,,,,,,,"Back to dashboard -> select Action = [Go to page]

",,"Hiển thị dropdown Page:  
https://prnt.sc/s9fg\_izhhg8E

",50
,,,,,,,,,,,,,,,,"Ở dropdown Page, chọn 1 page bất kỳ

","Page = All products

",,50
,,,,,,,,,,,,,,,,"Turn off toggle [Open in new tab] -> Click Save

",,,50
,,,,,,,,,,,,,,,,"Open storefront -> Click image ở slide 1

",,"Redirect tới trang https://test-insert-panel-1.myshopbase.net/collections/all

",50
,,,,,,,,,,,,,,,,"Back to dashboard -> select Action = [Go to section]

",,"Show dropdown section: https://prnt.sc/7Fi7yc0pRHBm

",50
,,,,,,,,,,,,,,,,"Chọn 1 section bất kỳ trong dropdown

","Section = section A

",,50
,,,,,,,,,,,,,,,,"Click Save -> Open storefront -> Click image ở slide 1

",,"Redirect to section A

",50
,,,,,,,,,,,,,,,,"Back to dashboard -> select [Make a call]

",,"Hiển thị field Phone Number:  
https://prnt.sc/wtLsXmL0\_OZx

",50
,,,,,,,,,,,,,,,,"Input data vào field Phone Number

","987654321

",,50
,,,,,,,,,,,,,,,,"Click Save -> Open storefront -> Click image ở slide 1

",,"Open popup Phone link:   
https://prnt.sc/NlKqxulpPmNd

",50
,,,,,,,,,,,,,,,,"Back to dashboard -> select Action = [Send email to]

",,"Show field Email  
https://prnt.sc/R7h4P1hi0so0

",50
,,,,,,,,,,,,,,,,"Click Save -> Open storefront -> Click image ở slide 1

",,"Show popup select email app  
https://prnt.sc/Jt3bl6OD-Dpn

",50
,,,,,,,,,,,,,,,,"Back to dashboard -> select Action = [Copy to clipboard]

",,"Show field Content: https://prnt.sc/N32ydiSrpA2A

",50
,,,,,,,,,,,,,,,,"Input data vào field Content

","abc

",,50
,,,,,,,,,,,,,,,,"Click Save -> Open storefront -> Click image ở slide 1 -> Paste ở new tab

",,"Show content `abc`

",50
,,,,,,,,,,,,,,,,"Back to dashboard -> select Action = [Open a popup]

",,"Hiển thị field Popup: https://prnt.sc/S\_V6q3Ub5wyz

",50
,,,,,,,,,,,,,,,,"Select popup = Cart drawer

",,,50
,,,,,,,,,,,,,,,,"Click Save -> Open storefront -> Click image ở slide 1

",,"Open cart drawer

",50
,,,,,,,,,,,,,,,,"Back to dashboard -> select Action = [Go to checkout]

",,"Show lại toggle Open in new tab https://prnt.sc/nUWx0g\_2DTB3

",50
,,,,,,,,,,,,,,,,"Turn off toggle [Open in new tab] 

",,,50
,,,,,,,,,,,,,,,,"Click Save -> Open storefront -> Click image ở slide 1

",,"Redirect to checkout page

",50
,,,,,,,,,,,,,,,,"Back to dashboard -> click button [Add slide]

",,"Ở sidebar hiển thị thêm 1 slide có tên slide 2

",50
,,,,,,,,,,,,,,,,"Click vào icon settings của Slide 2

",,,50
,,,,,,,,,,,,,,,,"Click tab Media của Slide 2

",,,50
,,,,,,,,,,,,,,,,"Click dropdown Action

",,"Show data như ảnh:  
https://prnt.sc/4PMh9foUgNEi

",50
,,,,,,,,,,,,,,,,"Select [Open a link]

",,"- Hiển thị field Target URL  
- turn on toggle Open in new tab

",50
,,,,,,,,,,,,,,,,"Input data field Target URL: 

","https://manual-ne-04.myshopbase.net/blogs/go-lang

",,50
,,,,,,,,,,,,,,,,"Click Save -> Open storefront 

",,,50
,,,,,,,,,,,,,,,,"Click image ở slide 1

",,"Redirect to checkout page

",50
,,,,,,,,,,,,,,,,"Click image ở slide 2

",,"Open page https://manual-ne-04.myshopbase.net/blogs/go-lang  
 trong tab mới


![](chrome-extension://bpggmmljdiliancllaapiggllnkbjocb/logo/48.png)",50
,,,,,,,,,,,,,,,,"Back lại WB, upload image cho mobile ở slide 2-> Save",,"Upload thành công ảnh cho mobile. Webfront, hiển thị đúng preview của mobile",50
,,,,,,,,,,,,,,,,Open SF on mobile -> Click ảnh ở slide 2,,"Open page https://manual-ne-04.myshopbase.net/blogs/go-lang  
 trong tab mới",50
82004,1583,SB_WEB_BUILDER_LB_SLS_01,"Check default style, settings khi add mới block Slideshow vào webfront preview",1,238,,"Product A đã được apply template


Mở webbuilder bằng các cách sau:


- Dashboard->Products->Chọn product A->Design sales page


- Dashboard->Products->Chọn product A->Checkout-> Add upsell offer -> Save -> Design offer -> Apply a template


- Dashboard -> Website-> Pages->Chọn 1 page bất kỳ-> Customize


Có ít nhất 1 blank section  
  
https://prnt.sc/3t3fOh7Ro4lj

",1,1,0,,1,30,,0,Ấn Add Block ở blank section,,Mở cửa sổ insert panel,50
,,,,,,,,,,,,,,,,Click chọn block Slideshow,,"Block slideshow được add và hiển thị ở trong column 1 thuộc blank section 
![](chrome-extension://bpggmmljdiliancllaapiggllnkbjocb/logo/48.png)",50
,,,,,,,,,,,,,,,,Ấn (+) Insert panel,,Hiển thị Insert panel ở sidebar,50
,,,,,,,,,,,,,,,,Drag and drop block Slideshow đến blank section,"Nhấc chuột khi hiển thị placeholder

","Block slideshow được add và hiển thị ở trong column 1 thuộc blank section   
Các option khác:  
Design:  
- Layout: Full   
+ Slide Nav On   
+ Arrows On   
+ Show items partially Off   
- Width: 100%   
- Height: 600px   
- Background: màu 4  
- Border: none   
- Opacity: 100   
- Radius: 0   
- Shadow: none   
- Padding: left - top - right - bottom 0, 0, 0, 0   
- Content position: Center - center   
- Description: p3 - color 1   
- Title: H2, color 1,   
- Content Width = 50% so với block  
  
Content:   
- Content ở các slide được điền đầy đủ   
- Autoplay Off  
- Delay duration default: 3s  
-Pause on hover Off  
  
Ở Preview, hover hiển thị đầy đủ navigation, pagination.


http://joxi.ru/v29Kv6MtjLk38r


![](chrome-extension://bpggmmljdiliancllaapiggllnkbjocb/logo/48.png)",50
91862,1583,SB_WEB_BUILDER_LB_SLS_20,Verify thêm widget Action cho tab Media với Media là video của block Slideshow,1,,"Verify thêm widget Action cho tab Media với Image của block Slideshow

","- shop: https://test-insert-panel-1.myshopbase.net/  

acc: nule+1@beeketing.net/ qafront@123  

- shop có section: A  

- Ngoài storefront đã add sẵn product B vào cart

",0,0,0,0,2,238,,0,"Login to dashboard -> Online store -> Click customize template đang publish

",,,50
,,,,,,,,,,,,,,,,"Open insert panel -> drag and drop block Slideshow

",,,50
,,,,,,,,,,,,,,,,"Delete Slide 2 và Slide 3

",,,50
,,,,,,,,,,,,,,,,"Click vào icon settings của Slide 1

",,"Show popup settings:   

https://prnt.sc/lgbFy1OEH\_Lr

",50
